Transcription-Units	Regulation - regulator proteins of transcription unit	Sequence - coordinates of DNA region	Genes of transcription unit	Direction
TU0-13382		[yniA 1,807,796 &rarr; 1,808,656]	G6930	+
TU0-13858		[ygjR 3,237,282 &rarr; 3,238,297]	G7606	+
TU00309	PHOSPHO-TORR	[nlpD-rpoS 2,866,559 &larr; 2,868,829]	EG10510 // EG12111	-
TU0-14275	CPLX0-3930	[ygbK 2,862,197 &rarr; 2,863,501]	G7418	+
TU0-1603	CPLX0-7797 // PHOSPHO-ARCA // EG12105-MONOMER	[dcuC 654,583 &larr; 656,083]	G6347	-
TU0-12965		[folD-ybcJ 556,661 &larr; 557,781]	EG10328 // EG12879	-
TU0-4462	EG12335-MONOMER // G7072-MONOMER	[gudPXD 2,918,045 &larr; 2,922,130]	G7445 // G7446 // G7447	-
TU0-8149		[pheP 601,929 &rarr; 603,409]	EG10708	+
TU0-13366		[ldtE 1,757,721 &larr; 1,758,725]	G6904	-
TU0-8788	PD00519	[dsrA 2,025,223 &larr; 2,025,313]	G7047	-
TU0-13841		[ubiK 3,184,840 &rarr; 3,185,130]	G7582	+
TU00291		[ribF-ileS-lspA-fkpB-ispH 21,383 &rarr; 27,279]	EG11079 // EG10492 // EG10548 // EG11080 // EG11081	+
TU0-14247		[lfhA 248,358 &larr; 250,070]	G6113	-
TU871	CPLX0-7705	[queA 424,927 &rarr; 426,081]	EG10812	+
TU0-1482	EG11394-MONOMER // PD01520	[fabB 2,440,283 &larr; 2,441,641]	EG10274	-
TU0-12945	EG12386-MONOMER	[priC-ybaM 490,110 &larr; 490,812]	EG10765 // EG12830	-
TU0-44213	PD00353	[btuE 1,793,558 &larr; 1,794,124]	EG10129	-
TU0-7981	G6628-MONOMER // PD00353 // G7072-MONOMER	[dhaKLM 1,247,696 &larr; 1,250,944]	EG12399 // G6626 // G6627	-
TU0-13350	MONOMER-60	[add 1,702,202 &rarr; 1,703,234]	EG10030	+
TU0-8766		[ais 2,365,018 &larr; 2,365,620]	G7165	-
TU0-13824	G7072-MONOMER	[TU0-13824 3,156,571 &rarr; 3,157,450]	G7565	+
TU00274	CPLX0-3930 // G7072-MONOMER	[fliDST 2,003,748 &rarr; 2,006,165]	EG10841 // EG11388 // EG11389	+
TU00270	PD00288 // CPLX0-7639 // CPLX0-7797 // G7072-MONOMER	[fes-ybdZ-entF-fepE 612,543 &rarr; 619,387]	G0-10437 // EG10299 // EG10264 // EG10297	+
TU0-14226	CPLX0-7748	[slt 4,630,700 &rarr; 4,632,670]	EG10950	+
TU790	PD01896 // CPLX0-226 // G7072-MONOMER // CPLX0-7797	[mlc-ynfK 1,666,524 &larr; 1,668,591]	G6851 // G6852	-
TU0-14792	G7072-MONOMER	[xdhABC 3,000,265 &rarr; 3,003,968]	G7487 // G7486 // G7485	+
TU0-12924		[panE-yajL 443,051 &larr; 444,515]	G6239 // G198	-
TU0-44195		[psiF 403,231 &rarr; 403,601]	EG11401	+
TU0-7745	PHOSPHO-EVGA	[frc 2,492,004 &larr; 2,493,439]	G7237	-
TU0-13329		[ydfABC 1,648,438 &rarr; 1,649,041]	EG11302 // EG11301 // EG11300	+
TU0-8746		[ygbI 2,860,467 &larr; 2,861,234]	G7416	-
TU0-13804		[yggI 3,089,755 &rarr; 3,090,252]	EG12122	+
TU00254	PHOSPHO-NARL // CPLX0-7797 // PHOSPHO-ARCA // PD00353	[cydDC 927,474 &larr; 931,031]	EG10012 // EG11405	-
TU0-1421	PHOSPHO-ARCA	[ydeA 1,616,955 &rarr; 1,618,218]	EG11636	+
TU685		[nikR 3,618,537 &rarr; 3,618,989]	EG11519	+
TU0-14763	PD00353	[yrbN-deaD 3,305,971 &larr; 3,308,086]	EG10215 // G0-10651	-
TU0-12903		[yaiO 380,069 &larr; 381,260]	G6210	-
TU0-42696		[dmsC 943,957 &rarr; 944,896]	EG10234	+
TU0-7501	G7072-MONOMER	[bglX 2,219,660 &larr; 2,222,120]	EG12013	-
TU0-13312	CPLX0-7797	[ydfZ 1,629,215 &rarr; 1,629,418]	G6815	+
TU0-8730		[nudI 2,364,554 &rarr; 2,364,979]	G7164	+
TU0-13785		[uacT 3,031,367 &rarr; 3,032,815]	G7507	+
TU00238		[ansA-pncA 1,850,860 &rarr; 1,852,528]	EG11135 // EG10045	+
TU0-14192	CPLX0-226 // G7072-MONOMER	[yjhIHG 4,522,127 &larr; 4,525,888]	G7912 // G7911 // G7910	-
TU587	CPLX0-7639 // CPLX0-7797 // PROTEIN-NRIP // EG12243-MONOMER // PD00353	[glnK-amtB 472,469 &rarr; 474,301]	EG11821 // EG12191	+
TU0-14736	PHOSPHO-ARCA // EG12243-MONOMER // G6789-MONOMER // PHOSPHO-TORR // G7072-MONOMER	[gadEF 3,657,800 &rarr; 3,659,082]	G0-16680 // EG11544	+
TU0-1241		[sugE 4,376,794 &rarr; 4,377,192]	EG11616	+
TU0-12885	G6175-MONOMER	[rclABC 317,726 &larr; 320,215]	G6171 // G6173 // G6174	-
TU0-42656	EG12123-MONOMER // PD00353 // G7072-MONOMER	[leuO 84,298 &rarr; 85,312]	EG10531	+
TU0-7182		[istR-1 3,853,118 &larr; 3,853,257]	G0-10201	-
TU0-13294		[ydeTSR 1,587,793 &larr; 1,590,001]	G6795 // G6794 // G6793	-
TU0-8714		[yeaP 1,877,657 &rarr; 1,878,740]	G6980	+
TU0-13768		[ygeP 2,997,689 &larr; 2,997,988]	G7482	-
TU00222	CPLX0-7639 // PD00353 // CPLX0-6 // PHOSPHO-ARCA // G7072-MONOMER	[oppABCDF 1,299,267 &rarr; 1,306,768]	EG10674 // EG10675 // EG10676 // EG10677 // EG10678	+
TU0-14173		[tabA 4,474,862 &rarr; 4,475,314]	G7883	+
TU525	MONOMER0-155 // PC00027 // PD00353 // G7072-MONOMER	[ilvLXG_1G_2MEDA 3,950,201 &rarr; 3,957,123]	G0-10641 // G8221 // EG10493 // EG10496 // EG10497 // EG10501 // EG11270	+
TU0-14693	PHOSPHO-PHOB // PC00027 // CPLX0-7797 // G7072-MONOMER	[pstSCA 3,908,495 &larr; 3,911,568]	EG10782 // EG10784 // EG10734	-
TU0-1183	PD00288 // MONOMER0-155 // CPLX0-7705	[rrsC-gltU-rrlC-rrfC 3,941,395 &rarr; 3,947,067]	EG30072 // EG30079 // EG30033 // EG30086	+
TU0-12869		[xynR 288,404 &larr; 289,162]	G6144	-
TU0-42605		[yajG-ampG 452,070 &larr; 454,210]	EG12183 // EG12182	-
TU0-6983		[cspG 1,051,461 &rarr; 1,051,673]	G6511	+
TU0-13276		[rhsE-ydcD 1,527,890 &rarr; 1,530,404]	EG11760 // EG10010	+
TU0-8697	PD00353	[ydaM 1,406,563 &larr; 1,407,795]	G6673	-
TU0-13750		[tas 2,971,597 &rarr; 2,972,637]	G7462	+
TU00205	CPLX0-7705 // CPLX-123 // MONOMER0-160 // CPLX0-226	[guaBA 2,630,906 &larr; 2,634,107]	EG10420 // EG10421	-
TU0-14157		[ulaR 4,417,698 &larr; 4,418,453]	G7854	-
TU483		[rnc-era-recO-pdxJ-acpS 2,700,618 &larr; 2,704,223]	EG10247 // EG10693 // EG10832 // EG10270 // EG10857	-
TU0-14673	PD00353	[groL 4,370,873 &rarr; 4,372,671]	EG10599	+
TU0-1021		[pyrH 191,812 &rarr; 192,580]	EG11539	+
TU0-12851		[rayT 247,637 &rarr; 248,134]	G6112	+
TU0-42582	CPLX0-226 // CPLX0-2021 // PD03028 // PD00261 // MONOMER-52 // MONOMER-53	[galET 789,983 &larr; 792,086]	EG10366 // EG10362	-
TU0-6702	CPLX0-226	[sdhDAB 755,391 &rarr; 758,450]	EG10932 // EG10931 // EG10934	+
TU0-13259		[opgD 1,496,856 &rarr; 1,498,511]	EG12859	+
TU0-8680	EG12386-MONOMER	[yccU 1,027,946 &rarr; 1,028,359]	G6499	+
TU0-13733	G7072-MONOMER	[yqcE-ygcE 2,900,592 &rarr; 2,903,374]	G7442 // EG13174	+
TU00189	PD00406 // PD04418 // PD00365	[nfo 2,250,767 &rarr; 2,251,697]	EG10651	+
TU0-14139		[dtpC 4,354,954 &larr; 4,356,411]	EG12469	-
TU365	PC00010	[phr 739,354 &rarr; 740,925]	EG10736	+
TU0-14650	PHOSPHO-TORR	[rpoS 2,866,559 &larr; 2,867,607]	EG10510	-
TU-8427		[narWV 1,535,937 &larr; 1,538,687]	EG10644 // EG10645	-
TU0-12834	CPLX0-226 // EG11721-MONOMER	[yaeP-rof 213,678 &larr; 214,187]	G372 // G6097	-
TU0-42559		[gcvR 2,599,806 &rarr; 2,600,478]	EG11149	+
TU0-6646	PD00353	[deoBD 4,619,567 &rarr; 4,621,659]	EG10222 // EG10220	+
TU0-13241	CPLX0-2781	[hslJ 1,441,321 &larr; 1,441,780]	G6702	-
TU0-8661	CPLX0-7797	[ysgA 4,015,354 &larr; 4,016,343]	G7804	-
TU0-13716		[TU0-13716 2,818,961 &larr; 2,819,273]	EG11447	-
TU00173	PD03576 // CPLX0-226 // G7072-MONOMER	[glpFKX 4,114,527 &larr; 4,118,161]	EG11517 // EG10398 // EG10396	-
TU0-14121	PD00353	[aphA 4,269,414 &rarr; 4,270,127]	EG11934	+
TU341	CPLX0-226 // CPLX0-228 // PHOSPHO-HYDG // G7072-MONOMER	[metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp 3,308,999 &larr; 3,318,375]	EG10743 // EG10914 // EG11177 // EG11178 // EG10505 // EG10665 // EG11179 // EG30061	-
TU0-14632	PD00353	[yeaGH 1,866,765 &rarr; 1,870,238]	G6970 // G6969	+
TU-8396		[dolP 3,296,072 &rarr; 3,296,984]	G7644	+
TU0-12816		[yadI 144,577 &rarr; 145,017]	EG12322	+
TU0-42532	CPLX0-7705 // PD00288	[cbpA-cbpM 1,062,550 &larr; 1,064,037]	EG12194 // EG12193	-
TU0-6564	PHOSPHO-ARCA	[ssb 4,273,938 &rarr; 4,274,661]	EG10976	+
TU0-13225		[ttcA 1,411,013 &larr; 1,411,948]	G6675	-
TU0-8644		[yoaF 1,877,278 &larr; 1,877,532]	G6979	-
TU0-13698		[yfjW 2,773,318 &rarr; 2,775,021]	G7377	+
TU00157	PHOSPHO-NARP // PHOSPHO-NARL // CPLX0-7797	[fdnGHI 1,547,248 &rarr; 1,551,991]	EG11227 // EG11228 // EG11229	+
TU0-14103	G7072-MONOMER	[nudC-hemE-nfi 4,196,903 &rarr; 4,199,461]	EG11915 // EG11543 // EG11702	+
TU21	PD00353 // G7072-MONOMER	[tolB-pal-ybgF 777,740 &rarr; 780,389]	EG12854 // EG10684 // EG11008	+
TU0-14611		[ecpBCDE 304,495 &larr; 310,076]	G6160 // G6161 // G6162 // G6163	-
TU0-12799	CPLX0-228	[yaaU 45,592 &rarr; 47,138]	EG11566	+
TU0-42509	PC00027 // PHOSPHO-ARCA // CPLX0-7797 // G7072-MONOMER	[sucAB 758,586 &rarr; 762,966]	EG10980 // EG10979	+
TU0-6510	PC00061 // G7072-MONOMER	[ppc 4,150,447 &larr; 4,153,190]	EG10756	-
TU0-13207	G7072-MONOMER	[ymjA 1,357,423 &larr; 1,357,668]	G6642	-
TU0-8627		[yjjK 4,628,855 &larr; 4,630,522]	EG12343	-
TU0-13680		[ffh 2,746,209 &larr; 2,747,853]	EG10300	-
TU00140	CPLX0-7705 // PD03695 // CPLX0-226	[gyrA 2,336,793 &larr; 2,339,457]	EG10423	-
TU0-14077	PD00353	[yiiM 4,102,822 &rarr; 4,103,496]	EG11870	+
TU00527	PC00061	[pykF 1,755,467 &rarr; 1,757,110]	EG10804	+
TU0-14559		[osmF-yehYXW 2,215,745 &larr; 2,219,511]	EG12009 // EG12010 // EG12011 // EG12012	-
TU0-42481		[gapA 1,862,247 &rarr; 1,863,766]	EG10367	+
TU0-6443	CPLX0-7669	[dapD 185,090 &larr; 185,977]	EG10207	-
TU0-13184		[insZ 1,294,426 &larr; 1,295,322]	G6632	-
TU0-8609	G7072-MONOMER	[yjcC 4,275,418 &rarr; 4,277,057]	EG11938	+
TU0-13661		[yphA 2,673,346 &rarr; 2,673,768]	G7337	+
TU00124	CPLX0-226	[speC 3,107,020 &larr; 3,109,175]	EG10961	-
TU0-14061		[bipA 4,058,407 &rarr; 4,060,230]	EG11837	+
TU00510	CPLX0-7705	[serX 1,096,979 &larr; 1,097,676]	EG30097	-
TU0-14535		[ykfGH-yafW-ykfI 263,328 &larr; 264,762]	G6120 // G6121 // G0-10432 // G6122	-
TU0-42461		[azoR 1,482,255 &larr; 1,482,904]	G6731	-
TU0-6361		[dolP 3,296,349 &rarr; 3,296,984]	G7644	+
TU0-13168		[ycgI 1,223,564 &rarr; 1,223,907]	G0-10444	+
TU0-8592		[yiaU 3,751,992 &rarr; 3,752,966]	EG12289	+
TU0-13643		[ypfH 2,593,072 &larr; 2,593,770]	G7296	-
TU00108	MONOMER0-4276 // PHOSPHO-DPIA // CPLX0-3930 // CPLX0-226 // PHOSPHO-ARCA	[mdh 3,383,330 &larr; 3,384,313]	EG10576	-
TU0-13573		[rbn 2,381,582 &rarr; 2,382,525]	G7175	+
TU0-14044		[rarD 4,003,288 &larr; 4,004,178]	EG11466	-
TU00494	CPLX0-7705	[proL 2,286,141 &rarr; 2,286,331]	EG30067	+
TU0-14515	PC00040	[tcyJ 1,999,541 &larr; 2,000,410]	G7039	-
TU0-42202		[rpsI 3,377,756 &larr; 3,378,207]	EG10908	-
TU0-5901	PROTEIN-NRIP // CPLX0-226 // PHOSPHO-HYDG // PD00353	[glnA 4,055,990 &larr; 4,058,222]	EG10383	-
TU0-13150		[ymfK 1,202,259 &larr; 1,202,933]	G6589	-
TU0-8575		[yhbP 3,299,472 &larr; 3,299,915]	G7648	-
TU0-13626		[ypeA-yfeZ 2,551,277 &larr; 2,552,138]	G7269 // G7268	-
TU00091	PD01896 // CPLX0-226 // PD00353	[malT 3,552,953 &rarr; 3,555,820]	EG10562	+
TU0-13557		[TU0-13557 2,282,440 &rarr; 2,282,836]	EG10885	+
TU0-14027	G7072-MONOMER	[cbrC 3,898,022 &rarr; 3,898,609]	EG11727	+
TU00478	CPLX0-226	[yhfA 3,485,414 &larr; 3,485,951]	EG11182	-
TU0-14493		[yggDC 3,073,976 &larr; 3,075,225]	EG11161 // EG11162	-
TU0-41801	CPLX0-8597	[ydeI 1,624,105 &larr; 1,624,559]	EG11644	-
TU0-5562	PD00353	[mutY-yggX-mltC-nupG 3,102,911 &rarr; 3,106,970]	EG10664 // G7533 // G7532 // EG10627	+
TU0-13132		[murJ 1,127,839 &rarr; 1,129,374]	G6561	+
TU0-8558		[ybdH 632,389 &larr; 633,477]	EG12692	-
TU0-13609	G7072-MONOMER // EG12386-MONOMER	[yfdV 2,489,242 &larr; 2,490,186]	G7235	-
TU00075	CPLX0-7797 // CPLX0-226 // G7072-MONOMER // PD00353	[ansB 3,099,654 &larr; 3,100,751]	EG10046	-
TU0-13539	CPLX0-7796 // PHOSPHO-ARCA	[folE-yeiB 2,241,810 &larr; 2,243,848]	EG11375 // EG11290	-
TU0-14011		[yicN 3,841,950 &larr; 3,842,402]	EG11690	-
TU00461		[appA 1,040,599 &rarr; 1,041,915]	EG10049	+
TU0-14470		[ybeD-lipB 661,637 &larr; 662,706]	EG11591 // EG11592	-
TU0-3963		[fepDGC 619,384 &larr; 622,192]	EG10295 // EG10298 // EG10296	-
TU0-5202		[apaGH 50,380 &larr; 52,034]	EG10048 // EG10047	-
TU0-13116		[efeOB 1,082,243 &rarr; 1,084,647]	EG11735 // G6527	+
TU0-8542		[yafF 239,190 &rarr; 239,378]	G0-10431	+
TU0-13592		[yfcJ 2,438,942 &larr; 2,440,120]	G7198	-
TU00059	CPLX-123 // CPLX0-7639	[purR 1,737,640 &rarr; 1,738,869]	EG10800	+
TU0-13521		[yehHI 2,197,410 &rarr; 2,203,911]	G8208 // EG11995	+
TU0-13996		[grxC 3,784,191 &larr; 3,784,442]	EG12294	-
TU00444	CPLX0-228	[cvpA-purF-ubiX 2,428,030 &larr; 2,430,770]	EG11044 // EG10794 // EG10169	-
TU0-14447	PC00010	[ftsK 933,138 &rarr; 937,213]	G6464	+
TU0-36432		[kdsC-lptCAB 3,341,719 &rarr; 3,344,669]	EG11680 // G7665 // G7664 // G7663	+
TU0-5003	PD00353 // G7072-MONOMER	[groSL 4,370,616 &rarr; 4,372,671]	EG10599 // EG10600	+
TU0-13100		[mgsA 1,026,557 &larr; 1,027,041]	G6497	-
TU0-8524		[ybaQ 508,191 &rarr; 508,559]	G6259	+
TU00043	PD00266 // CPLX0-226	[nagBACD 699,574 &larr; 703,708]	EG10634 // EG10636 // EG10632 // EG10633	-
TU0-13503		[sibB 2,153,646 &rarr; 2,153,781]	G0-8885	+
TU0-13980		[ghrB 3,717,310 &rarr; 3,718,284]	EG12272	+
TU00427	CPLX0-7740 // CPLX0-226 // MONOMER0-160 // PHOSPHO-HYDG	[rpoH 3,599,887 &larr; 3,600,870]	EG10897	-
TU0-14414	PC00061 // PD00353	[eno 2,906,643 &larr; 2,908,846]	EG10258	-
TU0-36411		[yciE 1,314,668 &larr; 1,315,396]	EG11125	-
TU0-4881		[gntRKU 3,575,688 &larr; 3,578,726]	EG12631 // EG12629 // EG12630	-
TU0-13082	PD00353	[ycaM 947,229 &rarr; 948,659]	G6466	+
TU0-8506		[rpmE 4,126,908 &rarr; 4,127,262]	EG10889	+
TU00027	PROTEIN-NRIP // CPLX0-226 // PHOSPHO-HYDG // PD00353	[glnALG 4,053,869 &larr; 4,058,222]	EG10385 // EG10387 // EG10383	-
TU0-13485		[yeeX 2,079,032 &larr; 2,079,361]	G7087	-
TU0-13960		[yhiS 3,651,291 &rarr; 3,653,713]	EG12238	+
TU00409	PD00288	[fimB 4,540,809 &rarr; 4,541,559]	EG10309	+
TU0-14396	CPLX0-7705	[crp 3,485,861 &rarr; 3,486,792]	EG10164	+
TU0-3465	G6789-MONOMER	[yiiS-uspD 4,112,869 &rarr; 4,113,721]	EG11877 // EG11876	+
TU0-4623	CPLX0-7678	[zntA 3,606,397 &rarr; 3,608,649]	EG12215	+
TU0-13065		[bssR 878,248 &rarr; 878,631]	G6436	+
TU0-8490	CPLX0-7797	[pepT 1,185,823 &rarr; 1,187,070]	EG11549	+
TU00011	MONOMER0-162 // CPLX-125	[aroL-yaiA-aroM 406,235 &rarr; 408,105]	EG10082 // EG11093 // EG10083	+
TU0-13466	PD00288 // G7072-MONOMER // CPLX0-228	[hchA 2,035,780 &rarr; 2,036,686]	G7055	+
TU0-13942		[rsmD-yhhL 3,604,393 &rarr; 3,605,248]	EG12212 // EG10343	+
TU00393	EG11554-MONOMER // PD00288 // PD00353 // CPLX0-228	[stpA 2,798,091 &larr; 2,798,536]	EG11554	-
TU0-14374	G7072-MONOMER	[gspCDEFGHIJKLMO 3,455,482 &rarr; 3,466,220]	EG11359 // EG12173 // G7711 // G7710 // G7709 // G7708 // G7707 // G7706 // G7705 // G7704 // G7703 // G7702	+
TU0-3302		[recF 3,880,148 &larr; 3,881,861]	EG10828	-
TU0-45277	CPLX0-7705 // MONOMER0-155	[rrsE-gltV-rrlE-rrfE 4,207,693 &rarr; 4,213,209]	EG30074 // EG30081 // EG30034 // EG30088	+
TU0-13048	G7072-MONOMER	[ybhM 820,793 &rarr; 821,506]	G6404	+
TU0-45220	CPLX0-7797	[pykA 1,937,494 &rarr; 1,939,091]	EG10803	+
TU0-8473	EG12243-MONOMER // PHOSPHO-OMPR // PD00353	[tppB 1,712,625 &rarr; 1,714,271]	G6877	+
TU0-941	EG11084-MONOMER // EG11088-MONOMER // CPLX0-228 // PD00353 // EG12386-MONOMER	[mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 89,596 &rarr; 107,474]	EG10265 // EG10347 // EG10339 // EG10342 // EG10214 // EG10619 // EG10623 // EG10344 // EG10620 // EG10604 // EG10622 // EG10621 // EG10341 // EG11086 // EG11085 // EG11084	+
TU0-13446		[insA5B5AB5 1,978,518 &larr; 1,979,226]	G7030 // G7029 // G0-10539	-
TU0-13924		[yhfXW-php-yhfUTS 3,504,935 &larr; 3,510,976]	G7733 // G7732 // G7731 // G7730 // G7729 // G7728	-
TU00377	PHOSPHO-NARL // CPLX0-226 // PC00027 // EG12105-MONOMER // CPLX0-7797 // PHOSPHO-ARCA	[focA-pflB 951,207 &larr; 954,493]	EG10701 // EG11258	-
TU0-14354		[rnd 1,886,864 &larr; 1,888,061]	EG10858	-
TU0-2742	PC00027	[hemF 2,553,205 &rarr; 2,554,124]	EG12189	+
TU0-45261		[lapAB 1,340,135 &rarr; 1,341,727]	EG12691 // G6637	+
TU0-13032		[ybgQPO 747,921 &larr; 752,169]	G6387 // G6386 // G6385	-
TU0-45206	CPLX0-7705	[gyrB 3,877,532 &larr; 3,880,150]	EG10424	-
TU0-8364	EG12386-MONOMER	[rssB 1,290,220 &rarr; 1,291,255]	EG12121	+
TU0-8855	CPLX0-7797	[rplT-pheM 1,799,161 &larr; 1,799,763]	EG11272 // EG10881	-
TU0-13430		[yebW 1,922,121 &rarr; 1,922,312]	G7010	+
TU0-13905		[yhdJ 3,411,653 &rarr; 3,412,537]	EG11498	+
TU00360	CPLX0-8285	[speF-potE 716,946 &larr; 720,822]	G0-17074 // EG10753 // EG10964	-
TU0-14334		[isrC 2,071,317 &rarr; 2,071,511]	G0-8905	+
TU0-2503	PD00353	[topA 1,330,848 &rarr; 1,333,645]	EG11013	+
TU0-45246	CPLX0-7797 // PHOSPHO-NARL // G7072-MONOMER	[ynfEFGH-dmsD 1,657,962 &rarr; 1,665,120]	G6849 // G6848 // G6847 // G6846 // G6845	+
TU0-13014	CPLX0-226	[rihA 683,477 &larr; 684,412]	G6358	-
TU0-45190	EG12094-MONOMER // PC00061	[sgrST-setA 77,313 &rarr; 78,799]	G0-10617 // EG11754 // G0-9941	+
TU0-8344	CPLX0-7756 // PC00027 // MONOMER0-183	[hypABCDE-fhlA 2,850,627 &rarr; 2,856,416]	EG10301 // EG10487 // EG10486 // EG10485 // EG10484 // EG10483	+
TU0-8834		[insH-5 1,427,746 &larr; 1,428,726]	G6693	-
TU0-13414	PC00010	[yoaA 1,891,325 &larr; 1,893,235]	G6992	-
TU0-13889	PD00365	[mlaFEDCB 3,336,963 &larr; 3,340,121]	EG12801 // EG12800 // EG12799 // G7659 // G7658	-
TU00342	PD00353	[rpoE-rseABC 2,707,322 &larr; 2,710,087]	G7347 // G7348 // EG12341 // EG11897	-
TU0-14315		[glf-rfc 2,106,060 &larr; 2,108,329]	EG11982 // EG11981	-
TU0-2082		[mfd 1,170,518 &larr; 1,173,992]	EG11619	-
TU0-45230	G7072-MONOMER	[osmB 1,343,110 &larr; 1,343,369]	EG10679	-
TU0-12998		[citT 645,117 &larr; 646,580]	G6338	-
TU0-45174		[mdoGH 1,109,257 &rarr; 1,113,560]	EG11886 // EG11885	+
TU0-8325	EG12116-MONOMER // PHOSPHO-OMPR	[acrR 485,699 &rarr; 486,408]	EG12116	+
TU0-8818		[nhoA 1,534,024 &rarr; 1,534,869]	G6770	+
TU0-13398		[yeaD 1,863,850 &rarr; 1,864,734]	G6966	+
TU0-13872	PD00353	[sohA-yhaV 3,276,972 &rarr; 3,277,801]	G7629 // EG10955	+
TU00324		[prfB-lysS 3,033,657 &larr; 3,036,282]	EG10552 // EG10762	-
TU0-14296		[rhaM 4,093,124 &larr; 4,093,438]	EG11865	-
TU0-1805		[pspF 1,366,818 &larr; 1,368,040]	EG12344	-
TU0-12980	EG11088-MONOMER	[ybcW 579,880 &rarr; 580,086]	G6314	+
TU0-45153		[mqsA 3,167,851 &larr; 3,168,397]	G7571	-
TU0-8243		[nudB-yebC-ruvC 1,946,815 &larr; 1,948,674]	EG10925 // EG11137 // EG11138	-
TU0-13379		[arpB 1,803,094 &rarr; 1,804,993]	G6926	+
TU0-8806		[gsk 500,015 &rarr; 501,429]	EG11102	+
TU0-13855		[rlmG 3,234,739 &larr; 3,235,875]	G7603	-
TU00306		[narZYWV 1,535,937 &larr; 1,542,590]	EG10644 // EG10645 // EG10647 // EG10648	-
TU0-14272		[rne 1,141,182 &larr; 1,144,762]	EG10859	-
TU0-1581	CPLX0-7705 // PD00288	[cspA 3,719,889 &rarr; 3,720,313]	EG10166	+
TU0-12962		[fdrA-ylbEF-ybcF 546,680 &rarr; 551,332]	EG12384 // G6289 // G6288 // G6287	+
TU0-4441	CPLX0-7797 // PHOSPHO-NARL // PHOSPHO-NARP // EG12108-MONOMER // PC00027	[norVW 2,832,298 &rarr; 2,835,045]	EG12450 // G7413	+
TU0-8146	PHOSPHO-PHOB // G7072-MONOMER // PD00353	[ytfK 4,439,511 &rarr; 4,439,793]	G7872	+
TU0-13363		[ydhXUT 1,748,747 &larr; 1,751,013]	G6899 // G6898 // G6897	-
TU0-8783	G7072-MONOMER	[dcp 1,625,335 &larr; 1,627,380]	EG10212	-
TU0-13837	PHOSPHO-CREB	[nudF-yqiB-cpdA-yqiA-parE 3,173,504 &larr; 3,177,910]	EG12633 // G7580 // G7579 // G7578 // EG10687	-
TU00287		[hslVU 4,120,368 &larr; 4,122,354]	EG11881 // EG11676	-
TU0-14244		[yciY 1,308,788 &rarr; 1,308,961]	G0-8891	+
TU866	PD00353 // G7072-MONOMER // EG12386-MONOMER // PHOSPHO-ARCA	[phoH 1,084,938 &rarr; 1,086,095]	EG11734	+
TU0-14817		[pgk 3,071,431 &larr; 3,072,735]	EG10703	-
TU0-12942		[maa 479,367 &larr; 479,918]	G58	-
TU0-44210		[xapB 2,522,698 &larr; 2,524,251]	EG13159	-
TU0-7881	PHOSPHO-BAER // CPLX0-7748 // EG12386-MONOMER // PD04418	[mdtABCD-baeSR 2,153,850 &rarr; 2,164,998]	EG11618 // EG11617 // EG12136 // G7115 // G7114 // G7113	+
TU0-13346		[tus 1,684,259 &rarr; 1,685,188]	EG11038	+
TU0-8763	PHOSPHO-OMPR	[omrA 2,976,102 &larr; 2,976,189]	G0-8868	-
TU0-13821		[yghX 3,146,856 &larr; 3,147,691]	G7557	-
TU0-13343	PD00288	[mdtUJI 1,672,820 &larr; 1,673,779]	G0-17023 // G6858 // G6857	-
TU0-8760	CPLX0-226 // G7072-MONOMER	[abgR 1,404,741 &rarr; 1,405,693]	G6671	+
TU0-13818	PHOSPHO-PHOB // G7072-MONOMER	[pitB 3,134,872 &larr; 3,136,403]	EG12883	-
TU00267		[fabZ 202,101 &rarr; 202,556]	EG11284	+
TU0-14222		[yjjJ 4,621,769 &rarr; 4,623,100]	EG12342	+
TU787	CPLX0-8563 // PD02198 // CPLX0-8597 // G6761-MONOMER // PHOSPHO-ARCA // PD00353 // G7072-MONOMER	[rsd 4,196,332 &larr; 4,196,859]	EG11738	-
TU0-14786	PD04418	[actP 4,283,253 &larr; 4,284,935]	EG11942	-
TU0-12919	G7072-MONOMER	[yajD 430,605 &rarr; 430,952]	EG11097	+
TU0-4405		[glrK 2,689,671 &larr; 2,691,123]	G7345	-
TU0-7741	MONOMER0-1 // PHOSPHO-NARP // PHOSPHO-NARL // PHOSPHO-RCSB // PD00288 // PD00266 // PHOSPHO-PHOP // PHOSPHO-EVGA // G7072-MONOMER	[ydeP 1,584,207 &larr; 1,586,664]	G6791	-
TU0-13326		[ydfV 1,645,897 &rarr; 1,646,202]	G6832	+
TU0-8743		[yfiK 2,715,423 &rarr; 2,716,010]	EG12445	+
TU0-13800	PD00353	[mscS 3,068,947 &larr; 3,069,871]	EG11160	-
TU00251	PD00353	[clpPX 456,577 &rarr; 458,755]	EG10158 // EG10159	+
TU0-14206		[yjiT 4,572,384 &rarr; 4,573,931]	G7938	+
